CpdClass1	CpdClass2	BioSim
GF-I-1	GF-THPI	0.469
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.744
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.522
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.466
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.67
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.437
GF-I-1	GF-THPI	0.084
GF-I-1	GF-THPI	0.752
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.755
GF-I-1	GF-THPI	0.013
GF-I-1	GF-THPI	0.742
GF-I-1	GF-THPI	0.118
GF-I-1	GF-THPI	0.262
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.555
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.402
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.575
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.709
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.571
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.614
GF-I-1	GF-THPI	0.357
GF-I-1	GF-THPI	0.262
GF-I-1	GF-THPI	0.121
GF-I-1	GF-THPI	0.63
GF-I-1	GF-THPI	0.341
GF-I-1	GF-THPI	0.526
GF-I-1	GF-THPI	0.49
GF-I-1	GF-THPI	0.601
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.614
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.419
GF-I-1	GF-THPI	0.096
GF-I-1	GF-THPI	0.735
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.757
GF-I-1	GF-THPI	0.062
GF-I-1	GF-THPI	0.669
GF-I-1	GF-THPI	0.213
GF-I-1	GF-THPI	0.444
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.627
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.48
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.63
GF-I-1	GF-THPI	0.264
GF-I-1	GF-THPI	0.15
GF-I-1	GF-THPI	0.023
GF-I-1	GF-THPI	0.549
GF-I-1	GF-THPI	0.275
GF-I-1	GF-THPI	0.364
GF-I-1	GF-THPI	0.469
GF-I-1	GF-THPI	0.453
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.668
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.507
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.682
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.774
GF-I-1	GF-THPI	0.0
GF-I-1	GF-THPI	0.7
GF-I-1	GF-THPI	0.096
GF-I-1	QD-C-R	0.324
GF-I-1	QD-C-R	0.365
GF-I-1	QD-C-R	0.143
GF-I-1	QD-C-R	0.184
GF-I-1	QD-C-R	0.192
GF-I-1	QD-C-R	0.296
GF-I-1	QD-C-R	0.327
GF-I-1	QD-C-R	0.084
GF-I-1	QD-C-R	0.163
GF-I-1	QD-C-R	0.249
GF-I-1	QD-C-R	0.664
GF-I-1	QD-C-R	0.647
