	Chembl_Id
931	CHEMBL1081157
932	CHEMBL1081158
933	CHEMBL1081159
934	CHEMBL1081161
935	CHEMBL1081162
936	CHEMBL1081165
937	CHEMBL1081170
938	CHEMBL1081171
939	CHEMBL1081215
940	CHEMBL1081216
941	CHEMBL1081234
942	CHEMBL1081238
943	CHEMBL1081239
944	CHEMBL1081240
945	CHEMBL1081282
946	CHEMBL1081314
947	CHEMBL1081326
948	CHEMBL1081327
949	CHEMBL1081328
950	CHEMBL1081331
951	CHEMBL1081332
952	CHEMBL1081333
953	CHEMBL1081336
954	CHEMBL1081337
955	CHEMBL1081338
956	CHEMBL1081339
957	CHEMBL1081340
958	CHEMBL1081368
959	CHEMBL1081372
960	CHEMBL1081392
961	CHEMBL1081393
962	CHEMBL1081398
963	CHEMBL1081400
964	CHEMBL1081404
965	CHEMBL1081405
966	CHEMBL1081411
967	CHEMBL1081412
968	CHEMBL1081413
969	CHEMBL1081414
970	CHEMBL1081415
971	CHEMBL1081416
972	CHEMBL1081417
973	CHEMBL1081422
974	CHEMBL1081423
975	CHEMBL1081434
976	CHEMBL1081435
977	CHEMBL1081445
978	CHEMBL1081502
979	CHEMBL1081512
980	CHEMBL1081513
981	CHEMBL1081516
982	CHEMBL1081517
983	CHEMBL1081518
984	CHEMBL1081519
985	CHEMBL1081523
986	CHEMBL1081525
987	CHEMBL1081526
988	CHEMBL1081584
989	CHEMBL1081585
990	CHEMBL1081586
991	CHEMBL1081604
992	CHEMBL1081605
993	CHEMBL1081669
994	CHEMBL1081679
995	CHEMBL1081688
996	CHEMBL1081689
997	CHEMBL1081690
998	CHEMBL1081691
999	CHEMBL1081692
1000	CHEMBL1081696
1001	CHEMBL1081697
1002	CHEMBL1081698
1003	CHEMBL1081699
1004	CHEMBL1081700
1005	CHEMBL1081701
1006	CHEMBL1081702
1007	CHEMBL1081704
1008	CHEMBL1081721
1009	CHEMBL1081731
1010	CHEMBL1081738
1011	CHEMBL1081743
1012	CHEMBL1081760
1013	CHEMBL1081775
1014	CHEMBL1081790
1015	CHEMBL1081799
1016	CHEMBL1081871
1017	CHEMBL1081875
1018	CHEMBL1081876
1019	CHEMBL1081877
1020	CHEMBL1081882
1021	CHEMBL1081885
1022	CHEMBL1081888
1023	CHEMBL1081889
1024	CHEMBL1081907
1025	CHEMBL1081908
1026	CHEMBL1081914
1027	CHEMBL1081915
1028	CHEMBL1082
1029	CHEMBL1082047
1030	CHEMBL1082048
1031	CHEMBL1082049
1032	CHEMBL1082050
1033	CHEMBL1082051
1034	CHEMBL1082052
1035	CHEMBL1082060
1036	CHEMBL1082065
1037	CHEMBL1082068
1038	CHEMBL1082070
1039	CHEMBL1082071
1040	CHEMBL1082072
1041	CHEMBL1082073
